Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_shoulder_yaw_link,1.04707750924211E-05,0.00306251547656655,-0.0835337393689956,0,0,0,1.41632693661755,0.00165445812086323,-7.60081485944759E-08,-5.84057753052003E-07,0.00197602180672846,0.000135109441597227,0.00159126103171914,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_shoulder_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_shoulder_yaw_link.STL,,elbow_assy-1,left_shoulder_yaw_frame,left_shoulder_yaw_axis,left_shoulder_yaw_joint,revolute,-0.047998,0,-0.164,0,0,0,left_shoulder_roll_link,0,0,1,0,0,0,0,,,,,,,,
left_elbow_pitch_link,0.0989174006532416,-0.0428684103811188,1.12373546231059E-05,0,0,0,0.884103824980024,0.000870892372447505,0.000273888993283052,-5.68805940987541E-08,0.00165684730141252,-6.07616425323099E-07,0.00177207759411878,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_elbow_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_elbow_pitch_link.STL,,wrist_roll_assy-1,left_elbow_pitch_frame,left_elbow_pitch_axis,left_elbow_pitch_joint,revolute,0,0.057,-0.109,0,0,0,left_shoulder_yaw_link,0,1,0,0,0,0,0,,,,,,,,
left_wrist_roll_link,0.0409388541211272,1.44010653568838E-06,0.000142694341970312,0,0,0,0.3272224092469,0.000160677502482943,1.40831510092885E-09,-2.57002519017349E-05,0.000182806093414107,3.58731468340873E-09,0.000163249525265784,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_wrist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_wrist_roll_link.STL,,wrist_yaw_assy-1,left_wrist_roll_frame,left_wrist_roll_axis,left_wrist_roll_joint,revolute,0.1555,-0.053,0,0,0,0,left_elbow_pitch_link,1,0,0,0,0,0,0,,,,,,,,
left_wrist_yaw_link,0.0668216020470162,0.000906686874280305,-0.0264071354707186,0,0,0,0.398649234168481,0.00014547531365218,2.21586127179802E-07,-1.36528905184954E-06,0.000235942903957028,-6.37134067551488E-12,0.000245778176520301,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_wrist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/left_wrist_yaw_link.STL,,wrist_pitch_assy-1,left_wrist_yaw_frame,left_wrist_yaw_axis,left_wrist_yaw_joint,revolute,0.057,0,0.031,0,0,0,left_wrist_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_shoulder_pitch_link,0.00351417281009449,-0.0593650068841058,0.0159457840931069,0,0,0,1.30300615244829,0.00205283711929966,0.000156949338567339,-4.22642839959054E-05,0.00163401863319158,1.50741050721477E-05,0.00169164186891019,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_shoulder_pitch_link.STL,,shoulder_roll_assy-4,right_shoulder_pitch_frame,right_shoulder_pitch_axis,right_shoulder_pitch_joint,revolute,0.0049985,-0.16096,0.34961,0,0,0,waist_pitch_link,0,-0.96593,0.25882,0,0,0,0,,,,,,,,
right_shoulder_roll_link,-0.039167064362203,-0.000373022148281471,-0.103062769465185,0,0,0,1.31133464640384,0.00238335131792184,-1.31733081930386E-06,-0.000363461043435955,0.00253039328471454,7.27359234227788E-07,0.00173511337542135,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_shoulder_roll_link.STL,,shoulder_yaw_assy-3,right_shoulder_roll_frame,right_shoulder_roll_axis,right_shoulder_roll_joint,revolute,0.057001,-0.076308,0.020446,0,0,0,right_shoulder_pitch_link,1,0,0,0,0,0,0,,,,,,,,
right_shoulder_yaw_link,-1.49518326231519E-05,-0.00306231108616317,-0.0835337393689956,0,0,0,1.41632693661755,0.00165445812086323,-7.60081485952892E-08,5.84057753050133E-07,0.00197602180672845,-0.000135109441597227,0.00159126103171914,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_shoulder_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_shoulder_yaw_link.STL,,elbow_assy-2,right_shoulder_yaw_frame,right_shoulder_yaw_axis,right_shoulder_yaw_joint,revolute,-0.047998,0,-0.164,0,0,0,right_shoulder_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_elbow_pitch_link,0.0989129237360392,0.0428684024068635,-1.17023710800301E-05,0,0,0,0.884104017641315,0.000870892403701521,-0.000273889033173965,5.69277384503481E-08,0.00165684764903815,-6.07609461260282E-07,0.00177207795998461,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_elbow_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_elbow_pitch_link.STL,,wrist_roll_assy-2,right_elbow_pitch_frame,right_elbow_pitch_axis,right_elbow_pitch_joint,revolute,0,-0.057,-0.109,0,0,0,right_shoulder_yaw_link,0,1,0,0,0,0,0,,,,,,,,
right_wrist_roll_link,0.040938854121151,1.4401065497327E-06,0.000142694341933647,0,0,0,0.327222409246538,0.000160677502482725,1.40831508560074E-09,-2.57002519016925E-05,0.000182806093413904,3.58731455401029E-09,0.000163249525265732,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_wrist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_wrist_roll_link.STL,,wrist_yaw_assy-2,right_wrist_roll_frame,right_wrist_roll_axis,right_wrist_roll_joint,revolute,0.1555,0.053,0,0,0,0,right_elbow_pitch_link,1,0,0,0,0,0,0,,,,,,,,
right_wrist_yaw_link,0.0668216020470109,0.000906686874280166,-0.0264071354707187,0,0,0,0.39864923416848,0.00014547531365218,2.21586127179732E-07,-1.36528905184955E-06,0.000235942903957028,-6.3713406722676E-12,0.000245778176520301,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_wrist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://prototype_v2.1/meshes/right_wrist_yaw_link.STL,,wrist_pitch_assy-2,right_wrist_yaw_frame,right_wrist_yaw_axis,right_wrist_yaw_joint,revolute,0.057,0,0.031,0,0,0,right_wrist_roll_link,0,0,1,0,0,0,0,,,,,,,,
